X,Y,code
33.0057,221.925,NM-11
36.9945,166.652,NM-11
38.9482,153.965,NM-11
39.8022,146.504,NM-11
44.2165,259.985,NM-11
44.9641,121.077,NM-11
47.2525,173.095,NM-11
48.0374,110.49,NM-11
48.0366,328.064,NM-11
50.9383,97.474,NM-11
52.9596,91.0508,NM-11
62.054,98.7008,NM-11
62.7665,68.5821,NM-11
75.5665,330.997,NM-11
77.8052,270.164,NM-11
81.3356,58.9212,NM-11
84.0139,70.0806,NM-11
91.865,320.099,NM-11
97.9427,70.2185,NM-11
97.8274,99.2,NM-11
101.149,77.7707,NM-11
101.657,115.247,NM-11
104.896,131.069,NM-11
107.02,91.9753,NM-11
108.978,148.06,NM-11
110.96,104.931,NM-11
113.106,115.918,NM-11
112.962,307.092,NM-11
112.775,314.63,NM-11
114.365,199.838,NM-11
115.05,208.068,NM-11
115.886,126.85,NM-11
116.198,133.287,NM-11
119.033,141.076,NM-11
120.992,152.777,NM-11
122.032,162.355,NM-11
123.058,172.703,NM-11
122.957,323.727,NM-11
123.916,313.098,NM-11
124.949,195.003,NM-11
125.054,288.158,NM-11
124.902,298.66,NM-11
128.094,239.581,NM-11
46.374,189.683,NM-11
54.9649,129.237,NM-11
60.1851,107.753,NM-11
111.506,168.621,NM-11
113.522,188.476,NM-11
113.387,291.83,NM-11
115.593,229.501,NM-11
126.415,203.199,NM-11
32.0342,254.479,NM-11
35.58,181.855,NM-11
45.5525,205.802,NM-11
51.6522,149.933,NM-11
52.2974,141.87,NM-11
56.9456,118.702,NM-11
93.3348,88.9739,NM-11
101.461,323.306,NM-11
111.102,326.56,NM-11
115.665,253.647,NM-11
124.42,182.263,NM-11
35.1473,319.557,NM-11
44.5952,238.755,NM-11
71.3835,79.5239,NM-11
73.8035,319.359,NM-11
115.786,239.768,NM-11
45.8623,216.211,NM-11
56.7194,78.8462,NM-11
83.8207,318.355,NM-11
112.366,299.233,NM-11
113.576,272.92,NM-11
41.5989,131.266,NM-11
47.2011,283.354,NM-11
45.3973,248.567,NM-11
46.9834,272.649,NM-11
67.1867,91.703,NM-11
76.5807,72.8871,NM-11
86.3532,77.4756,NM-11
87.7051,333.242,NM-11
97.791,108.378,NM-11
101.429,124.464,NM-11
113.554,216.895,NM-11
46.2374,227.307,NM-11
51.8911,160.868,NM-11
109.13,179.096,NM-11
50.0868,311.211,NM-11
112.131,261.051,NM-11
52.1202,322.61,NM-11
104.972,149.608,NM-11
67.561,108.977,NM-11
80.5983,81.2732,NM-11
30.7191,237.612,NM-10
40.0025,146.059,NM-10
42.9071,136.95,NM-10
43.174,287.716,NM-10
46.8103,117.851,NM-10
49.6782,109.822,NM-10
53.6901,96.5309,NM-10
55.2447,130.793,NM-10
57.7713,86.5296,NM-10
64.9622,335.148,NM-10
66.7333,71.6773,NM-10
84.804,84.8825,NM-10
88.9121,69.2304,NM-10
88.9532,94.0288,NM-10
96.9449,85.3443,NM-10
99.0259,337.042,NM-10
106.086,104.28,NM-10
107.779,153.875,NM-10
107.977,339.166,NM-10
110.204,116.708,NM-10
112.314,185.587,NM-10
113.028,124.269,NM-10
113.753,192.174,NM-10
116.774,232.9,NM-10
116.878,264.181,NM-10
118.22,143.037,NM-10
121.109,162.186,NM-10
122.403,174.36,NM-10
124.189,320.738,NM-10
125.257,193.578,NM-10
126.034,201.32,NM-10
127.264,207.904,NM-10
42.308,239.029,NM-10
43.2234,220.888,NM-10
43.3243,229.822,NM-10
61.9565,77.646,NM-10
78.7656,74.9625,NM-10
95.9936,111.254,NM-10
104.211,137.39,NM-10
106.322,144.314,NM-10
113.767,199.09,NM-10
116.691,256.47,NM-10
46.5676,315.727,NM-10
70.0527,65.6998,NM-10
71.1069,86.7413,NM-10
94.5106,76.7569,NM-10
108.635,161.247,NM-10
114.565,292.141,NM-10
115.499,277.729,NM-10
120.266,154.065,NM-10
33.8273,179.959,NM-10
48.2751,166.405,NM-10
81.4746,322.624,NM-10
102.025,91.0473,NM-10
115.756,217.872,NM-10
67.9179,95.1765,NM-10
99.9726,126.278,NM-10
114.643,209.897,NM-10
60.1181,120.084,NM-10
48.441,175.776,NM-10
63.8967,111.046,NM-10
73.3977,321.004,NM-10
50.1735,324.254,NM-10
90.8915,103.92,NM-10
95.9302,321.722,NM-10
107.458,172.064,NM-10
109.397,312.534,NM-10
108.889,323.538,NM-10
54.3178,154.572,NM-10
61.9524,69.688,NM-10
78.8254,84.5125,NM-10
101.755,82.34,NM-10
92.4111,116.091,NM-10
94.6923,67.3829,NM-10
102.155,151.077,NM-10
